,switch_axis,value_axis
18798,-12.307691655003634,0.5891600541318757
18799,-12.467316507173498,0.5704077837524624
18800,-11.560477594856417,0.5422369511525682
18801,-11.598570695387007,0.6138891928545749
18802,-12.050871015925228,0.6762860893713736
18803,-12.696877675170931,0.7200728934655674
18804,-12.999183903981503,0.6412626737031357
18805,-12.974307180874632,0.6554159916570818
18806,-12.672196017709734,0.635492901689621
18807,-13.03963837477956,0.6666432503407429
18808,-11.887044218989448,0.5656059065494679
18809,-11.92775108414935,0.5761997938290039
18810,-11.02969441485272,0.5493117758814511
18811,-10.718728891954793,0.5129939051412582
18812,-10.16693980757935,0.48529004671465137
18813,-9.541930195272332,0.4561425667713206
18814,-9.958279357601132,0.5218907664860448
18815,-9.804430392171541,0.4945484683192686
18816,-10.084672581091262,0.5148484629252212
18817,-9.455855411262121,0.44263967127836046
18818,-9.041710300449335,0.4233384628937625
18819,-8.889345053381842,0.4175970875070309
18820,-8.135736838869914,0.3810127458472233
18821,-7.626403649605885,0.3242542575639858
18822,-6.319978189033928,0.2878188253920183
18823,-4.61705129057908,0.18985317086686776
18824,-3.4147227561215145,0.13153744119477812
18825,-3.1054694927668347,0.23461611956340345
18826,-2.854333034942639,0.1962852221098209
18827,-3.218764000439828,0.2323767706135907
18828,-2.6179981332597966,0.12414412403000874
18829,-1.4603013876993165,0.022739129225256893
18830,-0.3873268888479995,0.04704294117218091
18831,-0.7836458129251112,-0.05819515914955298
18832,2.059620549530136,-0.06553757687171546
18833,3.601492269792149,-0.23331204697882507
18834,-2.406584640985867,0.36929645220679985
18835,-5.297297130451318,0.4346779917840069
18836,-8.68268229957322,0.507972264231448
18837,-6.539078772750159,0.589657088530535
18838,-5.391563879470254,0.39866394525666426
18839,-6.164480068440112,0.41754609078760513
18840,-6.740431115931891,0.3615039597384552
18841,-5.722466524869805,0.42514713005410054
18842,-7.122499470720568,0.5268364566167447
18843,-6.841757968826196,0.5717399829185152
18844,-6.916215287499144,0.5218394513265334
18845,-7.083101364245655,0.502688738442777
18846,-6.352648652455964,0.38507200234588723
18847,-5.757020807839547,0.3890535906764182
18848,-5.794337754669521,0.47921626434793707
18849,-5.489429102523968,0.4468590438623047
18850,-5.2527699679540945,0.3522274888379465
18851,-4.925589662951851,0.4012110256260336
18852,-4.82806390541243,0.3042157766245419
18853,-3.5201946329162075,0.2250990985963683
18854,-2.7224500986977107,0.17737787706623886
18855,-2.701234255795672,0.21612639657789362
18856,-3.6218761969557267,0.22973831620920437
18857,-3.061958320376398,0.25989898730427213
18858,-4.715765809198671,0.29602537876766855
